round,period,method,total,blue_hits,full_hits,best_weights
5,2025130,ai_fusion,1000,39,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
5,2025130,Top10 命中,,0,,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
6,2025130,xiaoliuyao,1000,35,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
6,2025130,xiaoliuren,1000,27,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
6,2025130,qimen,1000,76,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
6,2025130,ziwei,1000,22,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
6,2025130,ai_fusion,1000,47,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
6,2025130,Top10 命中,,0,,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
7,2025130,xiaoliuyao,1000,32,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
7,2025130,xiaoliuren,1000,39,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
7,2025130,qimen,1000,73,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
7,2025130,ziwei,1000,50,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
7,2025130,ai_fusion,1000,41,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
7,2025130,Top10 命中,,0,,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
13,2025131,xiaoliuyao,1000,59,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
13,2025131,xiaoliuren,1000,76,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
13,2025131,qimen,1000,70,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
13,2025131,ziwei,1000,82,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
13,2025131,ai_fusion,1000,65,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
13,2025131,Top10 命中,,0,,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
14,2025132,xiaoliuyao,1000,115,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
14,2025132,xiaoliuren,1000,110,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
14,2025132,qimen,1000,69,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
14,2025132,ziwei,1000,98,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
14,2025132,ai_fusion,1000,107,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
14,2025132,Top10 命中,,0,,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
15,2025133,xiaoliuyao,1000,59,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
15,2025133,xiaoliuren,1000,79,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
15,2025133,qimen,1000,77,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
15,2025133,ziwei,1000,60,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
15,2025133,ai_fusion,1000,53,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
15,2025133,Top10 命中,,0,,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
16,2025134,xiaoliuyao,1000,70,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
16,2025134,xiaoliuren,1000,58,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
16,2025134,qimen,1000,70,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
16,2025134,ziwei,1000,75,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
16,2025134,ai_fusion,1000,58,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
16,2025134,Top10 命中,,0,,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
17,2025134,xiaoliuyao,1000,59,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
17,2025134,xiaoliuren,1000,68,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
17,2025134,qimen,1000,59,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
17,2025134,ziwei,1000,59,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
17,2025134,ai_fusion,1000,67,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
17,2025134,Top10 命中,,0,,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
18,2025135,xiaoliuyao,1000,67,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
18,2025135,xiaoliuren,1000,73,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
18,2025135,qimen,1000,76,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
18,2025135,ziwei,1000,62,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
18,2025135,ai_fusion,1000,61,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
18,2025135,Top10 命中,,0,,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
19,2025136,xiaoliuyao,1000,60,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
19,2025136,xiaoliuren,1000,55,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
19,2025136,qimen,1000,65,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
19,2025136,ziwei,1000,60,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
19,2025136,ai_fusion,1000,65,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
19,2025136,Top10 命中,,0,,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
20,2025136,xiaoliuyao,1000,69,0,"{""xiaoliuyao"": 0.0, ""xiaoliuren"": 0.0, ""qimen"": 1.0, ""ziwei"": 0.0}"
